,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,target
0,0.03427,0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8,20.5150107289178
1,0.030410000000000003,0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56,19.97609197753384
2,0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51,22.077435810522516
3,0.054970000000000005,0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,396.9,9.74,21.578503115340183
4,0.06151,0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,396.9,9.29,20.635770719305157
5,0.013009999999999999,35,1.52,0,0.442,7.2410000000000005,49.3,7.0379,1,284,15.5,394.74,5.49,33.09434574708531
6,0.024980000000000002,0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65,19.41991211196786
7,0.02543,55,3.78,0,0.484,6.696000000000001,56.4,5.7321,5,370,17.6,396.9,7.18,27.248365632129953
8,0.030489999999999996,55,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,387.97,4.61,33.45943580677744
9,0.03113,0,4.39,0,0.442,6.013999999999999,48.5,8.0136,3,352,18.8,385.64,10.53,20.674327477909813
10,0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67,18.617996182980384
11,0.0187,85,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,392.43,6.36,25.915784566962337
12,0.015009999999999999,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17.0,390.94,5.99,28.15750737203334
13,0.02899,40,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,389.85,5.89,29.280800289451257
14,0.062110000000000005,40,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,396.9,5.98,26.30081614146134
15,0.0795,60,1.69,0,0.41100000000000003,6.579,35.9,10.7103,4,411,18.3,370.78,5.49,28.606074422509575
